0.000000000000000000e+00 3.300000000000000000e+01 5.100000000000000000e+01 1.800000000000000000e+01 1.510000000000000000e+02
2.220000000000000195e+00 2.500000000000000000e+01 6.000000000000000000e+01 1.100000000000000000e+01 1.390000000000000000e+02
4.440000000000000391e+00 2.700000000000000000e+01 4.600000000000000000e+01 1.100000000000000000e+01 1.430000000000000000e+02
6.660000000000000142e+00 2.200000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 1.430000000000000000e+02
8.880000000000000782e+00 2.400000000000000000e+01 4.000000000000000000e+01 1.400000000000000000e+01 1.380000000000000000e+02
1.110999999999999943e+01 2.000000000000000000e+01 3.000000000000000000e+01 1.600000000000000000e+01 1.350000000000000000e+02
1.333000000000000007e+01 1.500000000000000000e+01 2.100000000000000000e+01 1.000000000000000000e+01 1.380000000000000000e+02
1.555000000000000071e+01 2.500000000000000000e+01 3.700000000000000000e+01 1.000000000000000000e+01 1.120000000000000000e+02
1.776999999999999957e+01 1.500000000000000000e+01 3.100000000000000000e+01 1.300000000000000000e+01 1.380000000000000000e+02
2.000000000000000000e+01 1.600000000000000000e+01 2.600000000000000000e+01 1.000000000000000000e+01 1.440000000000000000e+02
