0.000000000000000000e+00 2.800000000000000000e+01 4.900000000000000000e+01 2.100000000000000000e+01 1.450000000000000000e+02
2.220000000000000195e+00 3.000000000000000000e+01 5.800000000000000000e+01 1.700000000000000000e+01 1.090000000000000000e+02
4.440000000000000391e+00 2.500000000000000000e+01 4.400000000000000000e+01 1.000000000000000000e+01 1.300000000000000000e+02
6.660000000000000142e+00 2.200000000000000000e+01 3.900000000000000000e+01 9.000000000000000000e+00 1.270000000000000000e+02
8.880000000000000782e+00 2.600000000000000000e+01 5.600000000000000000e+01 5.000000000000000000e+00 1.190000000000000000e+02
1.110999999999999943e+01 2.400000000000000000e+01 5.700000000000000000e+01 7.000000000000000000e+00 1.060000000000000000e+02
1.333000000000000007e+01 2.600000000000000000e+01 6.400000000000000000e+01 4.000000000000000000e+00 1.040000000000000000e+02
1.555000000000000071e+01 1.800000000000000000e+01 3.500000000000000000e+01 7.000000000000000000e+00 1.360000000000000000e+02
1.776999999999999957e+01 2.500000000000000000e+01 5.200000000000000000e+01 8.000000000000000000e+00 1.130000000000000000e+02
2.000000000000000000e+01 2.100000000000000000e+01 4.700000000000000000e+01 1.200000000000000000e+01 1.230000000000000000e+02
